GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Cf-OSCORE,org.eclipse.californium.oscore.group,ResponseReplayWindow,23,71,3,7,5,15,3,4,0,2
Cf-OSCORE,org.eclipse.californium.oscore.group,OneKeyDecoder,349,162,41,13,75,41,27,8,4,4
Cf-OSCORE,org.eclipse.californium.oscore.group,SharedSecretCalculation,2638,589,11,15,198,116,11,16,4,10
Cf-OSCORE,org.eclipse.californium.oscore.group,GroupSenderCtx,191,194,10,9,38,46,17,17,11,13
Cf-OSCORE,org.eclipse.californium.oscore.group,GroupCtx.CRED_FORMAT,0,56,0,0,0,5,0,2,0,2
Cf-OSCORE,org.eclipse.californium.oscore.group,GroupDynamicContextDerivation,7,94,1,5,3,21,2,4,1,2
Cf-OSCORE,org.eclipse.californium.oscore.group,GroupCtx,175,903,22,49,36,192,25,42,5,23
Cf-OSCORE,org.eclipse.californium.oscore.group,GroupRecipientCtx,101,157,9,6,19,41,11,16,5,14
Cf-OSCORE,org.eclipse.californium.oscore.group,MultiKey,181,77,22,4,39,21,15,6,3,5
Cf-OSCORE,org.eclipse.californium.oscore.group,OptionEncoder,3,60,0,4,1,14,1,7,1,5
Cf-OSCORE,org.eclipse.californium.oscore.group,KeyRemapping,237,414,8,4,43,83,7,16,2,15
Cf-OSCORE,org.eclipse.californium.oscore.group,CcsBuilder,102,0,16,0,26,0,11,0,3,0
Cf-OSCORE,org.eclipse.californium.oscore.group,SharedSecretCalculation.Tuple,0,31,0,0,0,6,0,1,0,1
Cf-OSCORE,org.eclipse.californium.cose,ASN1.TagValue,0,18,0,0,0,8,0,2,0,2
Cf-OSCORE,org.eclipse.californium.cose,AlgorithmID,10,729,2,4,1,62,2,7,0,6
Cf-OSCORE,org.eclipse.californium.cose,EncryptCommon,661,601,56,42,162,156,50,31,5,19
Cf-OSCORE,org.eclipse.californium.cose,MAC0Message,158,0,18,0,28,0,14,0,5,0
Cf-OSCORE,org.eclipse.californium.cose,Message,227,37,30,0,52,13,29,5,11,5
Cf-OSCORE,org.eclipse.californium.cose,SignMessage,293,0,32,0,59,0,26,0,10,0
Cf-OSCORE,org.eclipse.californium.cose,Signer,375,136,53,5,76,35,38,7,9,7
Cf-OSCORE,org.eclipse.californium.cose,Sign1Message,284,0,32,0,54,0,23,0,7,0
Cf-OSCORE,org.eclipse.californium.cose,Attribute,121,128,17,15,26,30,25,13,11,10
Cf-OSCORE,org.eclipse.californium.cose,EncryptMessage,372,0,46,0,77,0,33,0,10,0
Cf-OSCORE,org.eclipse.californium.cose,Recipient,1745,0,195,0,322,0,130,0,21,0
Cf-OSCORE,org.eclipse.californium.cose,CoseException,4,5,0,0,2,2,1,1,1,1
Cf-OSCORE,org.eclipse.californium.cose,OneKey,826,831,135,65,178,196,105,30,10,18
Cf-OSCORE,org.eclipse.californium.cose,SignCommon,85,254,7,23,20,80,10,15,3,4
Cf-OSCORE,org.eclipse.californium.cose,MessageTag,27,89,4,0,3,11,3,2,1,2
Cf-OSCORE,org.eclipse.californium.cose,Encrypt0Message,143,28,20,0,30,11,12,4,2,4
Cf-OSCORE,org.eclipse.californium.cose,MacCommon,373,0,32,0,85,0,24,0,6,0
Cf-OSCORE,org.eclipse.californium.cose,CounterSign,79,0,4,0,26,0,11,0,9,0
Cf-OSCORE,org.eclipse.californium.cose,ASN1,288,997,51,49,29,136,43,23,1,15
Cf-OSCORE,org.eclipse.californium.cose,MACMessage,394,0,50,0,82,0,34,0,9,0
Cf-OSCORE,org.eclipse.californium.cose,CounterSign1,37,34,4,2,13,10,7,3,4,3
Cf-OSCORE,org.eclipse.californium.cose,KeyKeys,0,324,0,0,0,31,0,3,0,3
Cf-OSCORE,org.eclipse.californium.cose,HeaderKeys,0,236,0,0,0,25,0,3,0,3
